folder,filename,base_id,width,height,mode,bytes,corrupt
raw,101.jpg,101,357,357,RGB,45091,False
raw,102.jpg,102,166,166,RGB,14074,False
raw,106.jpg,106,358,357,RGB,48607,False
raw,111.jpg,111,356,358,RGB,39036,False
raw,112.jpg,112,357,357,RGB,47874,False
raw,115.jpg,115,355,359,RGB,46059,False
raw,118.jpg,118,354,357,RGB,49778,False
raw,119.jpg,119,358,358,RGB,47462,False
raw,128.jpg,128,356,358,RGB,45268,False
raw,25.jpg,25,356,349,RGB,29035,False
raw,27.jpg,27,356,354,RGB,30283,False
raw,28.jpg,28,357,351,RGB,39276,False
raw,30(1).jpg,30,359,356,RGB,53204,False
raw,30.jpg,30,358,353,RGB,47301,False
raw,31.jpg,31,358,358,RGB,37446,False
raw,32(1).jpg,32,259,260,RGB,32371,False
raw,32.jpg,32,352,357,RGB,30954,False
raw,33(1).jpg,33,259,260,RGB,26219,False
raw,33(2).jpg,33,354,349,RGB,56173,False
raw,33.jpg,33,360,354,RGB,36223,False
raw,34(!).jpg,34,357,358,RGB,54597,False
raw,34.jpg,34,360,358,RGB,38347,False
raw,35(1).jpg,35,354,356,RGB,29750,False
raw,35(2).jpg,35,357,359,RGB,43335,False
raw,35(3).jpg,35,262,259,RGB,29543,False
raw,35.jpg,35,354,357,RGB,43906,False
raw,36(1).jpg,36,358,353,RGB,51412,False
raw,36(2).jpg,36,258,258,RGB,28587,False
raw,36(3).jpg,36,260,259,RGB,25145,False
raw,36.jpg,36,356,355,RGB,34394,False
raw,37.jpg,37,360,357,RGB,39851,False
raw,38.jpg,38,357,358,RGB,57331,False
raw,39.jpg,39,262,257,RGB,34554,False
raw,40(1).jpg,40,359,357,RGB,38745,False
raw,40(2).jpg,40,360,357,RGB,33802,False
raw,40(3).jpg,40,358,359,RGB,46172,False
raw,40.jpg,40,356,359,RGB,40552,False
raw,41.jpg,41,358,359,RGB,42456,False
raw,42(3).jpg,42,355,355,RGB,36122,False
raw,42.jpg,42,360,355,RGB,50122,False
raw,43(2).jpg,43,261,260,RGB,23730,False
raw,43.jpg,43,359,355,RGB,42469,False
raw,44(1).jpg,44,357,356,RGB,30521,False
raw,44(2).jpg,44,355,359,RGB,56408,False
raw,44(3).jpg,44,357,358,RGB,51835,False
raw,44.jpg,44,358,358,RGB,58195,False
raw,45(1).jpg,45,359,356,RGB,62632,False
raw,45(2).jpg,45,359,357,RGB,45100,False
raw,45(3).jpg,45,358,357,RGB,33726,False
raw,45(4).jpg,45,355,355,RGB,43969,False
raw,45.jpg,45,358,358,RGB,41150,False
raw,46(1).jpg,46,358,356,RGB,57282,False
raw,46(3).jpg,46,261,261,RGB,32731,False
raw,46.jpg,46,359,360,RGB,33038,False
raw,47(1).jpg,47,356,355,RGB,44158,False
raw,47(2).jpg,47,360,358,RGB,51870,False
raw,47(3).jpg,47,258,261,RGB,27523,False
raw,47(4).jpg,47,356,358,RGB,59641,False
raw,47.jpg,47,356,359,RGB,35159,False
raw,48(1).jpg,48,360,358,RGB,36741,False
raw,48(2).jpg,48,355,351,RGB,45718,False
