base_id,split,n_raw,n_infrared,raw_files,infrared_files,paired_files,unpaired_raw,unpaired_infrared
25,train,1,1,['25.jpg'],['25.jpg'],"[('25.jpg', '25.jpg')]",[],[]
27,val,1,1,['27.jpg'],['27.jpg'],"[('27.jpg', '27.jpg')]",[],[]
28,test,1,1,['28.jpg'],['28.jpg'],"[('28.jpg', '28.jpg')]",[],[]
30,train,2,2,"['30(1).jpg', '30.jpg']","['30(1).jpg', '30.jpg']","[('30(1).jpg', '30(1).jpg'), ('30.jpg', '30.jpg')]",[],[]
31,val,1,1,['31.jpg'],['31.jpg'],"[('31.jpg', '31.jpg')]",[],[]
32,train,2,2,"['32(1).jpg', '32.jpg']","['32(1).jpg', '32.jpg']","[('32(1).jpg', '32(1).jpg'), ('32.jpg', '32.jpg')]",[],[]
33,train,3,3,"['33(1).jpg', '33(2).jpg', '33.jpg']","['33(1).jpg', '33(2).jpg', '33.jpg']","[('33(1).jpg', '33(1).jpg'), ('33(2).jpg', '33(2).jpg'), ('33.jpg', '33.jpg')]",[],[]
34,test,2,2,"['34(!).jpg', '34.jpg']","['34(1).jpg', '34.jpg']","[('34.jpg', '34.jpg'), ('34(!).jpg', '34(1).jpg')]",[],[]
35,train,4,4,"['35(1).jpg', '35(2).jpg', '35(3).jpg', '35.jpg']","['35(1).jpg', '35(2).jpg', '35(3).jpg', '35.jpg']","[('35(1).jpg', '35(1).jpg'), ('35(2).jpg', '35(2).jpg'), ('35(3).jpg', '35(3).jpg'), ('35.jpg', '35.jpg')]",[],[]
36,train,4,4,"['36(1).jpg', '36(2).jpg', '36(3).jpg', '36.jpg']","['36(1).jpg', '36(2).jpg', '36(3).jpg', '36.jpg']","[('36(1).jpg', '36(1).jpg'), ('36(2).jpg', '36(2).jpg'), ('36(3).jpg', '36(3).jpg'), ('36.jpg', '36.jpg')]",[],[]
37,test,1,1,['37.jpg'],['37.jpg'],"[('37.jpg', '37.jpg')]",[],[]
38,train,1,1,['38.jpg'],['38.jpg'],"[('38.jpg', '38.jpg')]",[],[]
39,train,1,1,['39.jpg'],['39.jpg'],"[('39.jpg', '39.jpg')]",[],[]
40,train,4,4,"['40(1).jpg', '40(2).jpg', '40(3).jpg', '40.jpg']","['40(1).jpg', '40(2).jpg', '40(3).jpg', '40.jpg']","[('40(1).jpg', '40(1).jpg'), ('40(2).jpg', '40(2).jpg'), ('40(3).jpg', '40(3).jpg'), ('40.jpg', '40.jpg')]",[],[]
41,val,1,1,['41.jpg'],['41.jpg'],"[('41.jpg', '41.jpg')]",[],[]
42,val,2,2,"['42(3).jpg', '42.jpg']","['42(3).jpg', '42.jpg']","[('42(3).jpg', '42(3).jpg'), ('42.jpg', '42.jpg')]",[],[]
43,test,2,2,"['43(2).jpg', '43.jpg']","['43(2).jpg', '43.jpg']","[('43(2).jpg', '43(2).jpg'), ('43.jpg', '43.jpg')]",[],[]
44,train,4,4,"['44(1).jpg', '44(2).jpg', '44(3).jpg', '44.jpg']","['44(1).jpg', '44(2).jpg', '44(3).jpg', '44.jpg']","[('44(1).jpg', '44(1).jpg'), ('44(2).jpg', '44(2).jpg'), ('44(3).jpg', '44(3).jpg'), ('44.jpg', '44.jpg')]",[],[]
