filename,base_id,ocr_text
101.jpeg,101,"Raw Image Brightness Temperature Contours 2905"" 900 @50- 800 230 800 600 700 400 290  2210 ` 600 730250 250 200 BT Calibrated Image Cloud Height (km) 16 300 14 20 280 12 15 260 10 10 240 220 200 150 20 200 100 150 100 50 50 2013-10-12-0400 TC Center: LAT: 17.95 N LON: 85.90 E 290 ""290 _ 8 6 770"
102.jpeg,102,"Raw Image Brightness Temperature Contours 900 47q 800 850 800 600 750 700 400 650 600 200 BT Calibrated Image Cloud Height (km) 280 280 240 220 20Q 200 5q00 100 2013-10-12-0200 TC Center: LAT: 17.90 N LON: 86.20 E 4290"""
106.jpeg,106,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 8z78 800 800 600 700 400 600 500 200 BT Calibrated Image Cloud Height (km) 18 300 16 280 20 14 15 260 12 10 10 240 220 200 400 300 200 300 100 200 100 LAT: 13.48 N LON: 55.74 E 24MAY20180330
111.jpeg,111,"Raw Image Brightness Temperature Contours 900 8 Rzo 800 210 800 290 600 700 1, 400 8 600 200 370 BT Calibrated Image Cloud Height (km) 18 16 280 20 14 260 15 12 240 10 10 220 200 200 150 100 150 100 50 50 LAT: 13.09 N LON: 84.95 E 27NOV20130330 8 2290"" 270 290"
112.jpeg,112,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 3800 67703 800 800 300 700 600 600 400 500 400 200 BT Calibrated Image Cloud Height (km) 18 300 16 20 14 280 15 12 260 10 10 240 220 400 200 300 200 300 100 200 100 LAT: 14.03 N LON: 83.66 E O1MAY20190330 (300'
115.jpeg,115,Raw Image Brightness Temperature Contours 7290 210 900 800 800 600 700 400 793 200 600 BT Calibrated Image Cloud Height (km) 16 280 20 14 260 15 12 240 10 10 220 200 200 150 100 150 100 50 50 2014-10-11 22142 TC Center: LAT: 17.30 N LON: 84.80 E
118.jpeg,118,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 900 800 800 700 700 600 500 600 400 500 300 BT Calibrated Image Cloud Height (km) 18 300 16 20 280 14 15 12 260 10 10 240 220 400 200 300 200 300 200 100 100 LAT: 16.27 N LON: 85.81 E 19MAY20200300
119.jpeg,119,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 900 800 800 700 700 600 500 600 400 500 300 BT Calibrated Image Cloud Height (km) 18 300 16 20 280 14 15 12 260 10 10 240 220 400 200 300 200 300 200 100 100 LAT: 20.29 N LON: 86.79 E 2OMAY20200330
128.jpeg,128,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 800 800 600 700 400 600 200 500 BT Calibrated Image Cloud Height (km) 18 16 280 20 14 260 15 12 10 10 240 220 200 400 300 200 300 100 200 100 LAT: 15.06 N LON: 54.16 E 25MAY20180300
25.jpeg,25,"Raw Image Brightness Temperature Contours 900 800 800 600 700 90 400 600 200 290 BT Calibrated Image Cloud Height (km) 14 20 280 12 15 10 260 10 240 220 200 150 100 150 100 50 50 LAT: 10.65 N LON: 80.51 E 12DEC20130400 ~290' 7290 290"" 8 290"
27.jpeg,27,Raw Image Brightness Temperature Contours 900 800 800 90 29 600 700 10 600 400 290_ 500 29896 200 BT Calibrated Image Cloud Height (km) 15 300 20 280 15 10 260 10 240 220 200 150 100 150 100 50 50 LAT: 13.76 N LON: 64.49 E OSNOV20150744 ~290 290
28.jpeg,28,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 900 206 800 800 700 700 600 600 500 400 500 27t 300 400 BT Calibrated Image Cloud Height (km) 18 16 300 20 14 280 12 15 260 10 10 240 220 400 200 300 200 300 200 100 100 LAT: 10.31 N LON: 52.10 E 22NOV20200830 7300 7300:
30(1).jpeg,30,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 900 800 800 700 600 700 500 400 600 300 BT Calibrated Image Cloud Height (km) 18 16 280 20 14 260 15 12 240 10 10 220 200 400 300 200 300 200 100 100 LAT: 9.00 N LON: 80.10 E 03DEC2O200230
30.jpeg,30,Raw Image (INSAT-3D TIRI) Brightness Temperature Contours 900 800 800 sdo 600 700 400 600 500 200 BT Calibrated Image Cloud Height (km) 18 300 16 20 280 14 15 260 12 10 10 240 220 200 400 300 200 300 100 200 100 LAT: 12.96 N LON: 84.83 E 14NOV20180300
31.jpeg,31,"Raw Image Brightness Temperature Contours 2290 900 2290"" 290 800 2707 $ 800 600 700 270 400 8 600 290 200 BT Calibrated Image Cloud Height (km) 20 12 280 15 10 260 10 240 200 220 150 100 150 100 50 50 LAT: 15.25 N LON: 83.73 E M1DEC20130330"
