base_id,split,modality,filename,reconstruction_error,is_anomaly
118,val,infrared,118.jpg,145.65411,True
73,val,infrared,73.jpg,11.21309,True
46,train,infrared,46.jpg,3.600601,True
119,test,infrared,119.jpg,3.415187,True
58,train,raw,58(1).jpg,3.2047663,True
77,val,raw,77.jpg,3.01302,True
60,train,infrared,60(1).jpg,2.8538425,True
98,test,raw,98.jpg,2.7049816,True
40,train,raw,40(3).jpg,2.5948672,True
51,val,raw,51(1).jpg,1.4804385,True
52,train,raw,52(1).jpg,1.2736956,True
48,train,infrared,48(1).jpg,1.2536247,True
102,train,infrared,102.jpg,0.9764402,True
75,val,infrared,75.jpg,0.89819455,True
47,train,infrared,47(3).jpg,0.8623345,True
101,val,infrared,101.jpg,0.8354715,True
57,train,raw,57(2).jpg,0.8208646,True
74,train,infrared,74(2).jpg,0.755119,True
67,val,infrared,67(1).jpg,0.7397016,True
33,train,infrared,33(1).jpg,0.70690125,False
63,train,raw,63.jpg,0.6946714,False
36,train,infrared,36(2).jpg,0.693098,False
82,test,infrared,82(1).jpg,0.6535391,False
69,test,infrared,69(1).jpg,0.63886833,False
112,test,raw,112.jpg,0.6375951,False
81,test,infrared,81(1).jpg,0.6054637,False
45,train,raw,45(1).jpg,0.58351177,False
44,train,raw,44(2).jpg,0.58009183,False
48,train,raw,48(2).jpg,0.57136166,False
112,test,infrared,112.jpg,0.5704539,False
39,train,infrared,39.jpg,0.55679405,False
57,train,infrared,57(2).jpg,0.48884887,False
53,train,infrared,53(3).jpg,0.48466384,False
25,train,raw,25.jpg,0.48252392,False
118,val,raw,118.jpg,0.4717628,False
106,train,raw,106.jpg,0.46543992,False
74,train,infrared,74(1).jpg,0.44865647,False
83,test,infrared,83(1).jpg,0.44407684,False
47,train,infrared,47(1).jpg,0.43771255,False
87,train,infrared,87.jpg,0.4351595,False
63,train,infrared,63(2).jpg,0.4320198,False
44,train,infrared,44(1).jpg,0.42961437,False
42,val,raw,42.jpg,0.42651805,False
36,train,infrared,36(3).jpg,0.42196563,False
41,val,raw,41.jpg,0.41762906,False
119,test,raw,119.jpg,0.40954912,False
57,train,raw,57(1).jpg,0.40577605,False
43,test,raw,43.jpg,0.3928627,False
51,val,raw,51.jpg,0.38983294,False
98,test,infrared,98.jpg,0.35625616,False
48,train,infrared,48(2).jpg,0.35590425,False
46,train,raw,46(1).jpg,0.35463232,False
44,train,raw,44(1).jpg,0.34196287,False
87,train,raw,87.jpg,0.32419485,False
33,train,raw,33.jpg,0.32097325,False
61,train,raw,61(1).jpg,0.31540474,False
53,train,raw,53(1).jpg,0.3134679,False
77,val,infrared,77.jpg,0.30691603,False
47,train,raw,47(4).jpg,0.30396333,False
35,train,raw,35(3).jpg,0.29698434,False
49,train,raw,49(1).jpg,0.2943968,False
55,train,raw,55(2).jpg,0.29164675,False
67,val,raw,67.jpg,0.2909663,False
67,val,raw,67 2.jpg,0.28911617,False
51,val,infrared,51(1).jpg,0.28655794,False
38,train,raw,38.jpg,0.28481013,False
40,train,raw,40.jpg,0.28294572,False
74,train,raw,74(1).jpg,0.2803682,False
55,train,infrared,55(2).jpg,0.2665669,False
47,train,infrared,47.jpg,0.2641483,False
33,train,raw,33(2).jpg,0.2629873,False
85,train,infrared,85.jpg,0.26236668,False
49,train,raw,49(2).jpg,0.25859648,False
49,train,infrared,49(1).jpg,0.25640002,False
61,train,raw,61.jpg,0.24879776,False
33,train,infrared,33.jpg,0.24754216,False
53,train,raw,53.jpg,0.24730107,False
65,train,raw,65(2).jpg,0.24609104,False
30,train,raw,30(1).jpg,0.2457525,False
36,train,raw,36(1).jpg,0.24477339,False
33,train,infrared,33(2).jpg,0.24455993,False
73,val,raw,73.jpg,0.24255553,False
40,train,raw,40(1).jpg,0.24180858,False
45,train,raw,45.jpg,0.23985617,False
50,train,raw,50(1).jpg,0.23570876,False
34,test,raw,34.jpg,0.23452446,False
102,train,raw,102.jpg,0.23451082,False
64,train,raw,64(2).jpg,0.23337826,False
53,train,raw,53(2).jpg,0.23214604,False
45,train,raw,45(2).jpg,0.23186627,False
50,train,infrared,50(1).jpg,0.23068248,False
31,val,infrared,31.jpg,0.2296156,False
47,train,raw,47.jpg,0.22494023,False
34,test,infrared,34(1).jpg,0.22109309,False
65,train,raw,65.jpg,0.22016491,False
86,train,raw,86(2).jpg,0.21931134,False
70,val,raw,70.jpg,0.2155749,False
53,train,infrared,53(2).jpg,0.2130382,False
67,val,raw,67(1).jpg,0.21226785,False
49,train,raw,49.jpg,0.20836407,False
70,val,infrared,70.jpg,0.20563646,False
57,train,infrared,57(1).jpg,0.20309713,False
47,train,infrared,47(2).jpg,0.20022675,False
61,train,raw,61(2).jpg,0.19942838,False
40,train,raw,40(2).jpg,0.19799195,False
128,test,raw,128.jpg,0.19687562,False
53,train,infrared,53(1).jpg,0.19366102,False
40,train,infrared,40(1).jpg,0.1925217,False
45,train,infrared,45(3).jpg,0.19244714,False
63,train,raw,63(2).jpg,0.18902215,False
32,train,infrared,32(1).jpg,0.18893144,False
68,test,raw,68(1).jpg,0.18855874,False
65,train,infrared,65(2).jpg,0.18831258,False
64,train,raw,64.jpg,0.18785599,False
47,train,raw,47(1).jpg,0.187627,False
47,train,infrared,47(4).jpg,0.18669643,False
65,train,infrared,65(3).jpg,0.18636507,False
49,train,infrared,49.jpg,0.18576862,False
39,train,raw,39.jpg,0.18524145,False
60,train,raw,60(1).jpg,0.18359062,False
63,train,infrared,63.jpg,0.1832086,False
