filename,base_id,ocr_name,ocr_date,ocr_lat,ocr_lon,storm_id,name,basin,matched_time,matched_lat,matched_lon,wind_speed_kt,pressure_hpa,match_time_diff_hours,match_dist_km,n_reference_files_matched,storm_min_dist_to_odisha_km,is_odisha_relevant,odisha_closest_approach_time,coastal_distance_km,district
69(1).jpeg,69,,2021-05-25 08:30:00,18.9,88.15,2021-003,YAAS,BOB,2021-05-25 09:00:00,19.1,88.1,60.0,978.0,0.5,22.9,2,0.0,True,2021-05-26 06:00:00,219.2,
101.jpeg,101,,2013-10-12 04:00:00,17.95,85.9,2013-005,PHAILIN,BOB,2013-10-12 03:00:00,17.8,86.0,115.0,940.0,1.0,20.0,1,0.0,True,2013-10-12 18:00:00,177.5,
102.jpeg,102,,2013-10-12 02:00:00,17.9,86.2,2013-005,PHAILIN,BOB,2013-10-12 03:00:00,17.8,86.0,115.0,940.0,1.0,24.9,1,0.0,True,2013-10-12 18:00:00,205.1,
59_LUBAN.png,59,TITLI,2018-10-10 03:30:00,16.7,86.03,2018-012,TITLI,BOB,2018-10-10 03:00:00,16.5,85.8,60.0,988.0,0.5,33.9,4,0.0,True,2018-10-11 03:00:00,299.0,
67.png,67,TITLI,2018-10-10 03:30:00,16.7,86.03,2018-012,TITLI,BOB,2018-10-10 03:00:00,16.5,85.8,60.0,988.0,0.5,33.9,3,0.0,True,2018-10-11 03:00:00,299.0,
65(3).jpeg,65,,2021-05-25 02:29:00,18.2,88.0,2021-003,YAAS,BOB,2021-05-25 03:00:00,18.3,88.3,55.0,980.0,0.52,35.2,4,0.0,True,2021-05-26 06:00:00,265.1,
33.jpeg,33,,,15.57,84.28,2019-002,FANI,BOB,2019-05-01 21:00:00,15.5,84.2,100.0,950.0,,11.8,3,0.0,True,2019-05-03 06:00:00,340.4,
37.jpeg,37,,,12.87,85.25,2019-002,FANI,BOB,2019-04-30 09:00:00,13.0,85.3,85.0,966.0,,15.5,1,0.0,True,2019-05-03 06:00:00,657.7,
115.jpeg,115,,,17.3,84.8,2019-002,FANI,BOB,2019-05-02 09:00:00,17.1,84.8,115.0,932.0,,22.2,1,0.0,True,2019-05-03 06:00:00,173.6,
42(3).jpeg,42,,,16.5,84.7,2021-010,JAWAD,BOB,2021-12-04 09:00:00,16.5,84.7,35.0,1001.0,,0.0,2,28.0,True,2021-12-05 12:00:00,257.5,
119.jpeg,119,,,20.29,86.79,2021-010,JAWAD,BOB,2021-12-05 12:00:00,20.1,86.9,25.0,1004.0,,24.4,1,28.0,True,2021-12-05 12:00:00,3.7,
48(2).jpeg,48,,2018-12-17 03:30:00,15.68,82.11,2018-014,PHETHAI,BOB,2018-12-17 03:00:00,15.8,82.2,45.0,997.0,0.5,16.7,4,60.2,True,2018-12-17 18:00:00,244.1,
39.jpeg,39,,2019-11-07 03:00:00,14.93,89.54,2019-009,BULBUL,BOB,2019-11-07 03:00:00,14.7,89.3,35.0,998.0,0.0,37.0,1,68.6,True,2019-11-09 03:00:00,658.9,
64(2).jpeg,64,,2019-11-08 03:30:00,17.07,86.91,2019-009,BULBUL,BOB,2019-11-08 03:00:00,17.2,87.6,65.0,982.0,0.5,78.2,3,68.6,True,2019-11-09 03:00:00,322.1,
