district_a,district_b,centroid_distance_km
Anugul,Bauda,84.87
Anugul,Cuttack,102.13
Anugul,Debagarh,54.43
Anugul,Dhenkanal,66.55
Anugul,Kendujhar,102.74
Anugul,Nayagarh,86.5
Anugul,Sambalpur,83.17
Anugul,Subarnapur,112.74
Anugul,Sundargarh,128.37
Balangir,Bargarh,72.47
Balangir,Bauda,104.65
Balangir,Kalahandi,80.65
Balangir,Kandhamal,104.52
Balangir,Nuapada,63.55
Balangir,Subarnapur,77.59
Baleshwar,Bhadrak,63.67
Baleshwar,Kendrapara,108.93
Baleshwar,Kendujhar,125.49
Baleshwar,Mayurbhanj,69.02
Bargarh,Jharsuguda,90.06
Bargarh,Nuapada,116.31
Bargarh,Sambalpur,99.46
Bargarh,Subarnapur,58.51
Bauda,Kandhamal,59.17
Bauda,Nayagarh,98.28
Bauda,Subarnapur,48.45
Bhadrak,Jajapur,51.23
Bhadrak,Kendrapara,48.15
Bhadrak,Kendujhar,113.37
Cuttack,Dhenkanal,45.85
Cuttack,Jagatsinghapur,71.17
Cuttack,Jajapur,64.8
Cuttack,Kendrapara,94.85
Cuttack,Khordha,44.83
Cuttack,Nayagarh,78.2
Cuttack,Puri,63.74
Debagarh,Dhenkanal,103.32
Debagarh,Sambalpur,54.12
Debagarh,Sundargarh,74.67
Dhenkanal,Jajapur,65.14
Dhenkanal,Kendujhar,81.2
Gajapati,Ganjam,73.55
Gajapati,Kandhamal,106.91
Gajapati,Rayagada,71.07
Ganjam,Kandhamal,85.85
Ganjam,Khordha,101.86
Ganjam,Nayagarh,73.66
Ganjam,Puri,113.32
Jagatsinghapur,Kendrapara,46.11
Jagatsinghapur,Puri,75.54
Jajapur,Kendrapara,58.29
Jajapur,Kendujhar,88.8
Jharsuguda,Sambalpur,51.84
Jharsuguda,Sundargarh,64.91
Kalahandi,Kandhamal,102.23
Kalahandi,Koraput,123.77
Kalahandi,Nabarangapur,86.54
Kalahandi,Nuapada,86.56
Kalahandi,Rayagada,70.39
Kandhamal,Nayagarh,99.82
Kandhamal,Rayagada,101.9
Kendujhar,Mayurbhanj,83.1
Kendujhar,Sundargarh,137.29
Khordha,Nayagarh,55.17
Khordha,Puri,32.29
Koraput,Malkangiri,101.78
Koraput,Nabarangapur,94.77
Koraput,Rayagada,103.05
Sambalpur,Subarnapur,74.73
Sambalpur,Sundargarh,73.73
