district,censuscode,centroid_lon,centroid_lat,coastal_distance_km,degree,district_population,district_households,district_literacy_rate,district_worker_participation_rate,district_urban_population_pct
Anugul,384,84.90895938494553,20.986365582376045,111.11,9,1273821,297050,0.6826,0.4133,0.1621
Balangir,393,83.17388259923901,20.59046225751014,176.34,6,1648997,414749,0.5623,0.437,0.1197
Baleshwar,377,86.91704457492527,21.489778625600717,6.0,4,2320529,533001,0.6986,0.4019,0.1092
Bargarh,370,83.35344070751162,21.220224539187576,227.62,5,1481255,370308,0.6642,0.5145,0.1013
Bauda,391,84.17764489604113,20.64681482151624,116.72,5,441162,106961,0.6157,0.4975,0.0463
Bhadrak,378,86.62540199665904,20.98585867846946,12.0,4,1506337,306333,0.7264,0.3111,0.1234
Cuttack,381,85.70574451020704,20.449592919795762,42.0,8,2624470,579170,0.7664,0.3568,0.2805
Debagarh,373,84.80371436170985,21.465935631719912,171.68,4,312520,75452,0.633,0.5294,0.0716
Dhenkanal,383,85.52621281567576,20.826174810091906,76.54,5,1192811,279364,0.6958,0.3651,0.0985
Gajapati,389,84.16068016201478,19.173382722402284,33.86,3,577817,128523,0.4544,0.5087,0.1223
Ganjam,388,84.67106828963922,19.62693314009622,3.1,5,3529031,758267,0.6262,0.4255,0.2176
Jagatsinghapur,380,86.34365092840386,20.22182018417461,5.0,3,1136971,261307,0.7819,0.355,0.102
Jajapur,382,86.15219727150107,20.85592847337729,20.01,5,1827192,407851,0.7063,0.3022,0.0739
Jharsuguda,371,83.95473388562712,21.80598513059877,263.2,3,579505,136061,0.7004,0.4274,0.3989
Kalahandi,395,83.10923140338615,19.8676985661607,148.59,6,1576869,401251,0.5086,0.4769,0.0774
Kandhamal,390,84.04724311559784,20.12889569220457,70.25,7,733110,172022,0.5453,0.4847,0.0986
Kendrapara,379,86.60969881801152,20.553126205859655,8.0,5,1440361,321934,0.7562,0.3241,0.058
Kendujhar,375,85.70507226192711,21.537081037349513,46.77,7,1801733,405272,0.5842,0.4254,0.1405
Khordha,386,85.51141796982054,20.089962678450032,16.22,4,2251673,494212,0.7772,0.3518,0.4816
Koraput,398,82.72126620845309,18.816545920652928,139.59,4,1379647,337677,0.4118,0.5026,0.1639
Malkangiri,399,81.95633124759472,18.2580675075382,244.75,1,613192,137599,0.3991,0.5066,0.0808
Mayurbhanj,376,86.41117945877022,21.895171614578064,13.66,2,2519738,586253,0.5435,0.4856,0.0766
Nabarangapur,397,82.33766375438289,19.58804209775802,195.4,2,1220946,273423,0.3853,0.5004,0.0718
Nayagarh,385,84.99943793883894,20.21305724051623,30.16,6,962789,228315,0.715,0.3569,0.0828
Nuapada,394,82.57831467260944,20.465662438646927,226.33,3,610382,152210,0.4905,0.5004,0.0558
Puri,387,85.72089420436416,19.876547774191714,2.5,4,1698730,367269,0.7605,0.366,0.156
Rayagada,396,83.51384479948602,19.362277812352023,72.95,4,967911,226144,0.4213,0.4826,0.1518
Sambalpur,372,84.28093388546952,21.451911952156607,177.53,6,1041099,249597,0.6759,0.4859,0.2959
Subarnapur,392,83.8248629734163,20.931535658986842,182.73,5,610183,151136,0.653,0.4698,0.0818
Sundargarh,374,84.51057743486439,22.079776205646933,168.7,5,2093437,479109,0.6412,0.4171,0.3526
