censuscode,district,district_population,district_households,district_literacy_rate,district_worker_participation_rate,district_urban_population_pct
384,Anugul,1273821,297050,0.6826,0.4133,0.1621
393,Balangir,1648997,414749,0.5623,0.437,0.1197
377,Baleshwar,2320529,533001,0.6986,0.4019,0.1092
370,Bargarh,1481255,370308,0.6642,0.5145,0.1013
391,Bauda,441162,106961,0.6157,0.4975,0.0463
378,Bhadrak,1506337,306333,0.7264,0.3111,0.1234
381,Cuttack,2624470,579170,0.7664,0.3568,0.2805
373,Debagarh,312520,75452,0.633,0.5294,0.0716
383,Dhenkanal,1192811,279364,0.6958,0.3651,0.0985
389,Gajapati,577817,128523,0.4544,0.5087,0.1223
388,Ganjam,3529031,758267,0.6262,0.4255,0.2176
380,Jagatsinghapur,1136971,261307,0.7819,0.355,0.102
382,Jajapur,1827192,407851,0.7063,0.3022,0.0739
371,Jharsuguda,579505,136061,0.7004,0.4274,0.3989
395,Kalahandi,1576869,401251,0.5086,0.4769,0.0774
390,Kandhamal,733110,172022,0.5453,0.4847,0.0986
379,Kendrapara,1440361,321934,0.7562,0.3241,0.058
375,Kendujhar,1801733,405272,0.5842,0.4254,0.1405
386,Khordha,2251673,494212,0.7772,0.3518,0.4816
398,Koraput,1379647,337677,0.4118,0.5026,0.1639
399,Malkangiri,613192,137599,0.3991,0.5066,0.0808
376,Mayurbhanj,2519738,586253,0.5435,0.4856,0.0766
397,Nabarangapur,1220946,273423,0.3853,0.5004,0.0718
385,Nayagarh,962789,228315,0.715,0.3569,0.0828
394,Nuapada,610382,152210,0.4905,0.5004,0.0558
387,Puri,1698730,367269,0.7605,0.366,0.156
396,Rayagada,967911,226144,0.4213,0.4826,0.1518
372,Sambalpur,1041099,249597,0.6759,0.4859,0.2959
392,Subarnapur,610183,151136,0.653,0.4698,0.0818
374,Sundargarh,2093437,479109,0.6412,0.4171,0.3526
